เพศ,อายุ,l(x),d(x),e°(x),1000q(x)
ชาย,0,1000000,1321,74.27,1.3208
ชาย,1,998679,270,73.37,0.2705
ชาย,2,998409,261,72.39,0.2613
ชาย,3,998148,252,71.41,0.2521
ชาย,4,997897,242,70.43,0.243
ชาย,5,997654,233,69.44,0.2338
ชาย,6,997421,224,68.46,0.2246
ชาย,7,997197,215,67.47,0.2154
ชาย,8,996982,214,66.49,0.2149
ชาย,9,996768,181,65.5,0.182
ชาย,10,996586,207,64.51,0.2077
ชาย,11,996379,277,63.53,0.2777
ชาย,12,996103,378,62.55,0.3791
ชาย,13,995725,498,61.57,0.5005
ชาย,14,995227,629,60.6,0.6322
ชาย,15,994597,762,59.64,0.7657
ชาย,16,993836,889,58.68,0.8942
ชาย,17,992947,1005,57.74,1.0124
ชาย,18,991942,1108,56.79,1.1165
ชาย,19,990834,1193,55.86,1.204
ชาย,20,989641,1261,54.92,1.2743
ชาย,21,988380,1313,53.99,1.328
ชาย,22,987068,1350,53.06,1.3673
ชาย,23,985718,1376,52.14,1.396
ชาย,24,984342,1397,51.21,1.4196
ชาย,25,982945,1412,50.28,1.4368
ชาย,26,981532,1425,49.35,1.4514
ชาย,27,980108,1438,48.42,1.4674
ชาย,28,978670,1457,47.49,1.4886
ชาย,29,977213,1484,46.56,1.5183
ชาย,30,975729,1521,45.63,1.5586
ชาย,31,974208,1569,44.7,1.6107
ชาย,32,972639,1629,43.77,1.6747
ชาย,33,971010,1699,42.85,1.7501
ชาย,34,969311,1779,41.92,1.8358
ชาย,35,967531,1868,41.0,1.9307
ชาย,36,965663,1964,40.08,2.0338
ชาย,37,963700,2067,39.16,2.1451
ชาย,38,961632,2178,38.24,2.2649
ชาย,39,959454,2297,37.33,2.3942
ชาย,40,957157,2426,36.41,2.5348
ชาย,41,954731,2567,35.5,2.6888
ชาย,42,952164,2722,34.6,2.8585
ชาย,43,949442,2892,33.7,3.0462
ชาย,44,946550,3080,32.8,3.2543
ชาย,45,943470,3288,31.9,3.4846
ชาย,46,940182,3515,31.01,3.7386
ชาย,47,936667,3763,30.13,4.0174
ชาย,48,932904,4032,29.25,4.3215
ชาย,49,928872,4321,28.37,4.6514
ชาย,50,924552,4630,27.5,5.0075
ชาย,51,919922,4959,26.64,5.3909
ชาย,52,914963,5310,25.78,5.8038
ชาย,53,909653,5686,24.93,6.2505
ชาย,54,903967,6090,24.08,6.7375
ชาย,55,897876,6531,23.24,7.2739
ชาย,56,891345,7016,22.41,7.8713
ชาย,57,884329,7554,21.58,8.5426
ชาย,58,876775,8155,20.76,9.3015
ชาย,59,868620,8827,19.95,10.1621
ชาย,60,859793,9576,19.15,11.1381
ชาย,61,850216,10410,18.36,12.2434
ชาย,62,839807,11331,17.59,13.4927
ชาย,63,828475,12346,16.82,14.902
ชาย,64,816129,13458,16.07,16.4902
ชาย,65,802671,14673,15.33,18.2798
ชาย,66,787999,15995,14.6,20.2984
ชาย,67,772003,17432,13.89,22.5797
ชาย,68,754572,18987,13.2,25.1631
ชาย,69,735584,20664,12.53,28.0915
ชาย,70,714921,22455,11.88,31.4089
ชาย,71,692466,24344,11.25,35.1557
ชาย,72,668122,26301,10.64,39.365
ชาย,73,641821,28278,10.06,44.0585
ชาย,74,613544,30214,9.5,49.2451
ชาย,75,583330,32037,8.96,54.9201
ชาย,76,551293,33666,8.45,61.068
ชาย,77,517627,35025,7.97,67.6655
ชาย,78,482601,36043,7.51,74.6857
ชาย,79,446558,36663,7.08,82.1014
ชาย,80,409895,36845,6.67,89.8893
ชาย,81,373050,36572,6.28,98.0345
ชาย,82,336478,35847,5.91,106.5369
ชาย,83,300631,34698,5.55,115.4175
ชาย,84,265933,33167,5.21,124.7211
ชาย,85,232765,31310,4.88,134.5142
ชาย,86,201455,29187,4.56,144.8791
ชาย,87,172268,26858,4.25,155.9076
ชาย,88,145410,24773,3.94,170.3675
ชาย,89,120637,22459,3.65,186.1685
